scenario,latencyAvg,rps,latencyMax,latencyStdev,totalRequests,latency99,debit,timeout,read,write,connect,name,cpu_0,dram_0,cpu,dram,level,display_name,classification,database,language,os,framework,webserver,orm,platform,approach,status,5xx
json,0.04401,,0.048240000000000005,0.00218,54590.0,0.04802000000000001,395.89KB,,,,,tide,1046.1094360351562,236.8233528137207,1586.630142211914,467.51874923706055,128.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
json,0.04417,,0.04861,0.0023,108999.0,0.04807,790.98KB,,,,,tide,1164.1933135986328,254.88864135742188,1766.992156982422,502.89907455444336,256.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
json,0.0448,,0.048909999999999995,0.00263,214453.0,0.048119999999999996,1.52MB,,,,,tide,1241.6439208984375,264.82624435424805,2214.5882110595703,522.6307144165039,512.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,tide,465.805892944336,107.7856559753418,822.1952972412109,210.28998947143555,0.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.04443,,0.049170000000000005,0.0024900000000000005,216273.0,0.04811,1.59MB,,,,,tide,1391.4388732910156,278.9982376098633,2537.849334716797,548.0039749145508,1.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.04465,,0.05851,0.00252,215258.0,0.048119999999999996,2.89MB,,,,,tide,1393.553726196289,272.05302810668945,2664.904830932617,536.8507194519043,5.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.04517,,0.06391,0.00271,212767.0,0.05189,4.47MB,,,,,tide,929.9544067382812,283.4234771728516,2561.885940551758,567.7126808166504,10.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.04619,,0.07651999999999999,0.00307,208083.0,0.05204,5.93MB,,,,,tide,868.6440582275391,270.1338768005371,2592.088485717773,546.3729553222656,15.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.0466,,0.09947,0.00314,206237.0,0.05208,7.44MB,,,,,tide,1042.3193969726562,273.0004463195801,2901.1983337402344,555.2468185424805,20.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.050710000000000005,,0.14803,0.00378,189551.0,0.06,9.70MB,,,,,tide,1075.486297607422,263.98558044433594,3049.3162384033203,539.8794403076172,30.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
query,0.0874,,0.6860700000000001,0.06332,116939.0,0.2889,9.52MB,,,,,tide,1074.2691497802734,263.40053939819336,3056.8959197998047,539.7493858337402,50.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
fortune,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,salvo-pg,449.154296875,111.58245468139648,834.3791961669922,217.81397247314453,0.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.00056324,,0.00628,5.184e-05,558630.0,0.000699,36.07MB,,,,,salvo-pg,969.1427154541016,266.0017433166504,2261.438934326172,539.2758102416992,16.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.0011200000000000001,,0.00319,5.815e-05,564207.0,0.00128,36.58MB,,,,,salvo-pg,958.576889038086,265.51818466186523,2257.460220336914,538.130069732666,32.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.0014,,0.0029500000000000004,9.499e-05,566628.0,0.00161,36.59MB,,,,,salvo-pg,961.8394927978516,266.3500328063965,2274.3834838867188,538.882511138916,64.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.004240000000000001,,0.0087,0.00027498,565409.0,0.00484,36.51MB,,,,,salvo-pg,916.7942199707032,264.1333999633789,2238.520706176758,534.5669250488281,128.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.008490000000000001,,0.01286,0.00028979,567052.0,0.00967,36.64MB,,,,,salvo-pg,1052.0741729736328,282.2856559753418,2437.2481536865234,571.8964424133301,256.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.01695,,0.02158,0.0007173699999999999,567150.0,0.01834,36.67MB,,,,,salvo-pg,998.6233367919922,268.88589096069336,2349.271438598633,545.7629928588867,512.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,salvo-pg,465.1502075195313,107.10801315307616,821.07080078125,210.3911590576172,0.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.0006082,,0.00176,4.168e-05,518010.0,0.0007149999999999999,4.05MB,,,,,salvo-pg,810.6134033203125,261.0715637207031,2067.904922485352,523.7914085388184,16.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.00123,,0.00404,9.351e-05,514418.0,0.0014399999999999999,4.02MB,,,,,salvo-pg,695.1253051757812,258.66151428222656,1974.5841064453125,517.0270500183105,32.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.0015300000000000001,,0.00479,9.973999999999999e-05,518360.0,0.0017,4.05MB,,,,,salvo-pg,775.4031219482422,260.294548034668,2034.450653076172,521.3729820251465,64.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.00461,,0.01609,0.00027791000000000003,519189.0,0.00496,4.06MB,,,,,salvo-pg,837.7276611328125,274.36307525634766,2170.590560913086,549.9868316650391,128.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.00927,,0.01302,0.00033945,519270.0,0.010480000000000001,4.06MB,,,,,salvo-pg,861.0556793212891,268.6601142883301,2177.6734008789062,539.7294769287109,256.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
db,0.01844,,0.02188,0.0006424299999999999,521611.0,0.019469999999999998,4.09MB,,,,,salvo-pg,845.3178405761719,261.41413497924805,2133.743179321289,525.2669410705566,512.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,salvo-pg,465.44090270996094,109.84241104125977,845.0173797607422,216.73913192749023,0.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,0.050820000000000004,,0.05817,0.00172,189301.0,0.05482,1.50MB,,,,,salvo-pg,658.4570465087891,256.0785484313965,1845.875061035156,510.7851676940918,1.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,0.14284,,0.15281999999999998,0.00414,67233.0,0.15076,0.94MB,,,,,salvo-pg,653.0801696777344,256.1926155090332,1784.547393798828,510.5408935546875,5.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,0.25578,,0.28705,0.0072699999999999996,37440.0,0.27970999999999996,825.48KB,,,,,salvo-pg,666.9958038330078,261.8757667541504,1796.7371826171875,522.1583557128906,10.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
